彖	乛豕 vu
皮	乛又 vy
发	乛丶 vd
艮	彐乀 en
炙	丿火 ph
兼	丷乀 bn
段	丿又 py
留	丿田 pt
聚	耳乀 en
具	<具上部>八 qb
乒	丘丿 qp
彝	乛廾 vc
疏	乛乛 vv
丧	十乀 un
岛	丿山 pe
师	丨巾 lj
幺	乛厶 vs
彘	乛匕 vb
戢	口一 ka
枭	丿木 pm
隶	乛乀 vn
亦	亠丶 wd
壅	亠土 wt
帘	宀巾 bj
方	丶万 dw
棠	⺌木 xm
毋	乛一 va
毌	乛一 va
母	乛丶 vd
璧	尸玉 uy
石	一口 ak
窝	宀内 bn
骨	丨月 lo
敢	乛攵 vw
见	冂<见下部> ke
象	𠂊乀 dn
乙	乛乛 vv
亟	了一 la
余	人<余下部> rh
其	<其上部>八 qb
羔	𦍌灬 yh
餮	歹良 dl
乔	夭丨 yl
卸	午卩 we
庚	广乀 gn
彧	一丶 ad
戌	戊一 wa
截	十龶 uf
拜	龵丰 uf
爿	乛丿 vp
直	十<具上部> uq
瞿	目龶 of
裳	⺌𧘇 xy
雏	𠂊龶 df
丞	了一 la
乓	丘丶 qd
互	一一 aa
兀	一儿 ae
典	丨八 lb
击	一凵 ak
卣	丨一 la
孓	乛乀 vn
寿	<寿上部>寸 fc
巯	乛乛 vv
帝	亠巾 wj
弗	乛丨 vl
彳	丿亻 pr
既	<既左部>乛 gv
日	囗一 ka
曰	囗一 ka
月	冂一 ka
民	乛乛 vv
目	囗一 ka
贸	丿人 pr
鸟	乌丶 wd
鸩	丶鸟 dn
黻	业丶 yd
丑	乛一 va
世	一乛 av
乞	丿乛 pv
产	立丿 lp
匆	勹丶 bd
卤	丨乂 lx
卯	丿卩 pe
咸	戌口 xk
威	戌女 xn
帅	丨巾 lj
弈	亠廾 wc
彦	产丿 ip
戊	戈丿 gp
戍	戊丶 wd
掌	⺌手 xu
攀	木手 mu
断	米斤 mj
暨	<既左部>一 ga
椓	木乀 mn
瀣	氵韭 dj
爨	丿火 ph
牚	⺌牙 xy
璺	丿玉 py
盥	丿皿 pm
矛	龴丿 sp
羸	亡凡 wf
肃	乛丶 vd
舆	丿八 pb
舞	丿丨 pl
衮	亠𧘇 wy
衰	亠𧘇 wy
釜	八一 ba
銮	亠金 wj
阜	丿十 pu
临	丨一 la
充	亠儿 we
兆	儿丶 ed
党	⺌儿 xe
六	亠八 wb
午	丿干 pg
即	<既左部>卩 ge
卿	丿卩 pe
句	勹口 bk
哥	丁口 dk
商	亠口 wk
善	羊口 yk
噗	口乀 kn
坐	人土 rt
堂	⺌土 xt
墣	土乀 tn
壮	冫士 du
复	丿夂 pw
夔	丷夂 bw
奕	亠大 wd
奡	一丨 al
妆	冫女 dn
娈	亠女 wn
孑	乛一 va
将	冫寸 dc
尸	乛丿 vp
巴	巳丨 sl
希	乂巾 xj
常	⺌巾 xj
幞	巾乀 jn
弋	一丶 ad
录	彐氺 eu
敖	龶攵 fw
无	一尢 ay
曌	日工 og
栾	亠木 wm
桑	又木 ym
榖	士又 uy
毅	立又 ly
